sp1.sp2.sp3,(23.058442835852-1.68209379124239),(19.471933498514-0.508920344096512),(19.8507385297215-0.577414195227886),(22.5453937082536-1.41768175315404),(13.5406653513037-0.0704710579169026),(22.0519004264237-1.2026472437962),(20.499026151985-0.71669883272335),(16.7478462980458-0.205256914426053),(17.4623085488494-0.260451457803019),(14.7683339394322-0.10610455421171)
sp1.sp2.sp3.sp4,(26.1642541476082-0.749091397029384),(30.3090122358934-2.11128178045801),(20.512409491914-0.18234488691267),(20.0914768486347-0.164131290344828),(28.627811311226-1.38679461447893),(29.8995625960794-1.90585900751704),(22.7516678728777-0.319166976029102),(28.3817035451551-1.30404127545899),(26.5553261777277-0.826028270680781),(21.9413133965008-0.260636268715619)
sp1.sp2.sp3.sp4.sp5,(29.4899605453869-0.483677737306725),(31.185446287545-0.678928626945493),(30.8185642886765-0.63089508879346),(24.4771350946563-0.17747926336706),(28.3811185925189-0.387474665324919),(27.7830261435742-0.343790334630398),(28.4576874121731-0.393454019806105),(33.7606169956057-1.13631986994671),(26.4047320356595-0.260961565776818),(26.4653115097195-0.264142586505332)
sp1.sp2.sp3.sp4.sp5.sp6,(36.9976879191784-0.729184882476046),(38.0199306237285-0.864629523448971),(32.8209291425609-0.36350783598201),(37.9651866290201-0.85677652407302),(31.3074562834654-0.28246521300939),(37.9448623165468-0.853879184590653),(37.3047508976087-0.767473890327758),(27.8295965505986-0.158208235251101),(36.5579690776137-0.677656722743124),(40.0511481857867-1.21298240754537)
sp1.sp2.sp3.sp4.sp5.sp6.sp7,(38.6494389008926-0.426027611297833),(43.165170050551-0.812087866553974),(40.1001301875326-0.524133155622457),(46.3274288799966-1.27583971146742),(49.6460241818032-2.04969216104683),(35.1302995568805-0.257693253227695),(36.3379648986268-0.306216876882843),(47.168316630949-1.43868774562488),(42.6267766098577-0.751969093090738),(45.4354579761537-1.12319814556685)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8,(45.5970930023258-0.555469614305367),(44.8304197316061-0.50470787904929),(47.5787041356287-0.711599540642585),(53.5924959505752-1.50905556168853),(47.9811516391239-0.748312923987231),(51.7153929434504-1.19344749682027),(43.9572966567405-0.452523355076825),(51.6515364173088-1.18395924970656),(45.8395470336158-0.572561821994922),(51.0249679430593-1.09476857367984)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9,(56.0450052619598-1.01406816071015),(48.0840819791729-0.418709935347292),(58.9597260753683-1.40189938972242),(54.073928509017-0.814616034918766),(62.6359436759773-2.10917451885483),(58.5812213820752-1.34416358099176),(53.2091522893661-0.739985536189109),(50.3152691433515-0.536511555494068),(60.3826368955995-1.64202326961577),(59.6660183470346-1.51634813839331)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10,(60.5925936129202-0.915991076998858),(58.9046496222834-0.773721681729659),(61.1673633906135-0.97018193895397),(66.191160101048-1.60337059684057),(58.5233333144867-0.744773827757555),(50.9167331092741-0.348075903986046),(57.3421897753686-0.661801909314434),(47.5660278954345-0.248974405393525),(63.1331850516866-1.18093971283099),(54.4662689904484-0.496396098240637)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11,(56.7681903932956-0.396464224274808),(64.8396101957179-0.825798845082604),(63.0261128636493-0.700285293383992),(58.5135199325677-0.464634981183745),(55.9633536995054-0.368491924891895),(66.0809487069097-0.924451130337466),(66.5684351892384-0.966341343233987),(66.2893009025623-0.942128154376036),(58.1588208339132-0.449891640647484),(63.0926861285582-0.704536351804001)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12,(77.8913763135473-1.58878508943691),(74.8338620329998-1.23143077215236),(52.9691920768873-0.199113734633213),(74.5871031235909-1.20636714173451),(72.4554501599798-1.01002569876556),(65.3449099273764-0.558461704025868),(67.9650423944521-0.694734941729825),(76.3937143710852-1.40237113262171),(68.8232458814794-0.746240043370112),(72.4228742823803-1.00728754316837)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13,(80.8159123410735-1.27745357456744),(71.6321450500606-0.630290197433816),(79.9938674385842-1.19917580464671),(76.9832279847002-0.951273980508008),(77.9520850542097-1.02487870975603),(80.1134260811195-1.21025520565849),(74.9360801973465-0.812673280089021),(68.6970538282738-0.50290642190238),(73.4378098836698-0.724207259727106),(74.0171041259464-0.757208538193387)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14,(78.5791103929003-0.73842497714657),(78.4366012908042-0.730946490169138),(80.4662016646112-0.844978942697042),(83.9353588795624-1.08258686324422),(78.1773927975301-0.717537607627509),(77.9718673985796-0.707080836428136),(82.5114242499666-0.977891839334946),(87.7697350078926-1.42366913552581),(81.7321010777906-0.924943963869268),(87.4523239193622-1.39175453463775)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15,(88.8764136018312-1.06746253417151),(84.5965471077966-0.802486651654965),(79.2421086786106-0.561579122370024),(90.7928134422505-1.21293661883857),(82.5989158768675-0.702425803191701),(87.8389715617192-0.996129103152716),(93.3846195237661-1.44171223132183),(73.2574373887784-0.376822629289289),(89.8116698377814-1.13613796788192),(83.71703141273-0.756786238846301)
